SeriesName,CountryName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Population growth (annual %),Australia,1.042235716,1.142505187,1.192272323,1.348358342,1.220563785,1.233996663,1.159352162,1.319789554,1.475227945,0.624678435,2.00402174,2.06104513,1.555489589,1.389527316,1.722895219,1.69747275,1.474287743,1.391107205,1.410063834
Population growth (annual %),Austria,0.109728368,0.194563153,0.240466652,0.382799394,0.491980464,0.487133895,0.620413127,0.681267248,0.494797775,0.324146535,0.313041438,0.26195319,0.2403943,0.337080842,0.455937472,0.584103986,0.730867277,1.066622808,1.314006681
Population growth (annual %),Azerbaijan,0.949138147,0.8775987,0.821519964,0.774765939,0.746173583,0.757650956,0.87542728,1.022265592,1.098586574,1.133855466,2.099854033,2.076148264,1.189787708,1.303000855,1.328763827,1.293447027,1.248208997,1.191209858,1.163574223
Population growth (annual %),"Bahamas, The",1.071011745,1.203512621,1.46013665,1.745395999,1.967098764,2.108885442,2.124566024,2.063055027,1.979077613,1.916426224,1.837378246,1.756894914,1.670040267,1.577156695,1.481464449,1.388290219,1.298132947,1.214308159,1.129473367
Population growth (annual %),Bahrain,3.106571675,3.654564632,4.315130637,4.836634112,5.249907736,5.75681491,6.36025629,6.904364255,7.49936409,7.773737,7.322469834,6.128062258,4.603905253,2.970051954,1.702435467,1.161799071,1.582802234,2.618665193,3.812796793
Population growth (annual %),Bangladesh,2.072225976,2.0211661,1.958193767,1.901470351,1.842264814,1.754879164,1.632766736,1.49164985,1.341369837,1.211053046,1.126317789,1.101990116,1.119887888,1.151949049,1.17243498,1.177318892,1.157188028,1.120144259,1.080165239
Population growth (annual %),Barbados,0.375775127,0.362097879,0.343375699,0.310065147,0.292532159,0.286904135,0.305492684,0.335587959,0.375195323,0.403129055,0.422427178,0.414186551,0.39387979,0.368459992,0.350062437,0.327605267,0.309598865,0.293163377,0.273711418
Population growth (annual %),Belarus,-0.475578029,-0.420607218,-0.471131335,-0.512966688,-0.636565666,-0.699809191,-0.682169472,-0.68300556,-0.612296198,-0.458847536,-0.345415054,-0.22296073,-0.170360662,-0.183624023,-0.091637482,0.015868579,0.089902558,0.159300802,0.184284342
Population growth (annual %),Belgium,0.213527651,0.229189103,0.242517956,0.343951158,0.448268895,0.418641508,0.432788248,0.550055708,0.659558215,0.734330831,0.789976845,0.804599573,0.913639392,1.386849113,0.726031655,0.489184301,0.234370844,0.579446242,0.653895349
Population growth (annual %),Belize,3.84122995,3.725900281,3.409049514,3.053797033,2.792965627,2.606407988,2.552874327,2.570194001,2.602825568,2.60048533,2.566584581,2.504267338,2.416656693,2.330775455,2.255412899,2.197238562,2.159379755,2.136281595,2.111220431
Population growth (annual %),Benin,2.958613225,2.95175447,2.983994776,3.023780214,3.043082958,3.039674832,3.005342106,2.952383516,2.897532753,2.854074076,2.823521711,2.809336884,2.806108844,2.803422015,2.797040405,2.790253243,2.782287129,2.772977926,2.763534181
Population growth (annual %),Bermuda,0.737226639,0.561180119,0.894182916,1.085181052,0.652758223,0.656472533,0.655349388,0.649513649,0.575178477,0.565689754,0.593330046,0.55612581,-0.780059723,-0.859898041,0.362431076,0.313281274,0.212304426,0.147377147,0.147160267
Population growth (annual %),Bhutan,2.502864307,2.798769199,2.807182639,2.783288408,2.809384438,2.770472022,2.666579884,2.522569589,2.34631685,2.167558629,2.016340283,1.908765546,1.828358142,1.753134331,1.668226413,1.580345,1.490482105,1.398892513,1.309546955
Population growth (annual %),Bolivia,1.955122156,1.930571752,1.898106546,1.863490047,1.830634945,1.798916052,1.769869298,1.742891549,1.715802914,1.688818504,1.663905963,1.641611932,1.621157434,1.601317636,1.581548505,1.562684118,1.54465177,1.527225047,1.510046906
Population growth (annual %),Bosnia and Herzegovina,-0.051873166,0.229919046,0.201652406,0.121464756,0.119860766,0.091064875,0.053964444,0.006426177,-0.054543066,-0.144781204,-0.27597665,-0.453732789,-0.655462608,-0.896490382,-1.108492739,-1.191240193,-1.087641305,-0.845996499,-0.54290805
Population growth (annual %),Botswana,1.934592244,1.794802098,1.661433899,1.527040891,1.415514027,1.360736027,1.375545987,1.439411021,1.517960533,1.588807544,1.654476691,1.708090948,1.751544498,1.794005871,1.83435104,1.858453392,1.864855257,1.855975354,1.841666401
Population growth (annual %),Brazil,1.554874758,1.509726796,1.45290131,1.395385864,1.341366666,1.285684986,1.228872972,1.172551513,1.114608547,1.060019419,1.016864591,0.988453746,0.970296367,0.956012574,0.938920327,0.917022961,0.887563333,0.852799206,0.817555711
Population growth (annual %),British Virgin Islands,2.318528148,2.335360457,2.238479086,2.108872786,2.083897628,2.164158988,2.429341984,2.7436143,3.131562587,3.396987535,3.469107185,3.239414104,2.895620688,2.456359328,2.155729642,1.900517552,1.814387131,1.758809848,1.803451649
Population growth (annual %),Brunei Darussalam,2.276181024,2.189670622,2.108246022,2.042372412,1.965174511,1.862801203,1.720871966,1.555198377,1.384831652,1.238484038,1.163759826,1.184773447,1.266144506,1.367383237,1.44504449,1.481905887,1.46512371,1.408049349,1.345029067
Population growth (annual %),Bulgaria,-0.667302701,-0.560648225,-0.493896417,-1.990632204,-2.17069878,-0.792113638,-0.754796951,-0.752977445,-0.759505916,-0.735282284,-0.701922745,-0.644281363,-0.658275447,-0.641228921,-0.579220596,-0.559647217,-0.568389264,-0.638069468,-0.701382098
Population growth (annual %),Burkina Faso,2.802940418,2.822271747,2.841885125,2.858868603,2.875992432,2.898431555,2.927561373,2.959187776,2.989069919,3.011808563,3.024961665,3.026449668,3.019244688,3.008938328,2.997254968,2.981482933,2.961977939,2.939690431,2.915614034
Population growth (annual %),Burundi,1.207565317,1.48556011,1.920712036,2.394628078,2.793810959,3.089678581,3.245121675,3.298153071,3.339011117,3.384716388,3.376915124,3.314621282,3.221182855,3.106046414,3.008436011,2.965096095,2.992264687,3.061102894,3.135333146
Population growth (annual %),Cabo Verde,2.216449829,2.124763436,2.041948713,1.965709434,1.873194748,1.762933804,1.62040857,1.465272,1.303817449,1.166846877,1.080609721,1.060002683,1.084919087,1.124856113,1.156907994,1.185022837,1.209902934,1.222651753,1.239580878
Population growth (annual %),Cambodia,2.637210786,2.435216239,2.236056816,2.037299233,1.855340404,1.713760238,1.622577159,1.570832895,1.527719882,1.489494921,1.479248267,1.499446217,1.539045133,1.588753014,1.630478022,1.649900824,1.637999535,1.60352658,1.564833471
Population growth (annual %),Cameroon,2.496885177,2.504398967,2.535051988,2.570366614,2.600905067,2.631765389,2.660571537,2.686116501,2.711163569,2.732379211,2.743261161,2.7416385,2.730690231,2.716586939,2.701595913,2.683162908,2.661876093,2.638536081,2.613585149
Population growth (annual %),Canada,0.865613663,0.827369318,0.882998577,1.009521666,0.897131277,0.996232739,1.002034424,0.985903767,0.796844597,0.969853611,1.082197086,1.144840183,1.113959721,0.987617711,1.180344799,1.158442913,1.10075487,0.851756047,1.213891076
Population growth (annual %),Caribbean small states,0.728202577,0.713246555,0.712174089,0.712405471,0.70814156,0.701773244,0.691080849,0.678327425,0.664100142,0.652035497,0.64359331,0.641290499,0.642146865,0.64326149,0.641725122,0.632713936,0.615138207,0.590128358,0.562446807
Population growth (annual %),Cayman Islands,5.84591753,5.334735718,4.612143248,3.833275217,3.230117057,2.842665463,2.723924666,2.758694975,2.856670993,2.860884278,2.764305542,2.52427003,2.237172712,1.91287527,1.65469762,1.463432333,1.362926587,1.327924831,1.328625998
Population growth (annual %),Central African Republic,2.251098402,2.175619601,2.112116821,2.035527681,1.948661208,1.877362779,1.825949193,1.781166016,1.773178353,1.746821024,1.614337313,1.345085023,1.000713781,0.619139161,0.318137563,0.20549349,0.349172211,0.677771774,1.06165489
Population growth (annual %),Central Europe and the Baltics,-0.230120672,-0.096011064,-0.63869566,-0.558203114,-0.651966047,-0.314487974,-0.275992769,-0.274594407,-0.256601993,-0.374679931,-0.358131538,-0.192447805,-0.362709819,-0.353691942,-0.229154984,-0.21320183,-0.209757193,-0.230373722,-0.274719328
Population growth (annual %),Chad,3.488396231,3.577194776,3.671134501,3.769246427,3.834975829,3.830641126,3.744207307,3.610293104,3.461664578,3.341405395,3.269666391,3.25982615,3.287309231,3.321379431,3.333008894,3.3166752,3.264706365,3.190940272,3.114092441
Population growth (annual %),Channel Islands,0.653932409,0.690318615,0.700379366,0.715537795,0.736965164,0.750649694,0.741792607,0.731145765,0.721334717,0.706585312,0.680053816,0.646461275,0.614740578,0.57236205,0.535024812,0.508133059,0.485316915,0.482972961,0.477005099
Population growth (annual %),Chile,1.304305867,1.262808997,1.224826126,1.186783785,1.150151256,1.119612046,1.096755054,1.078973466,1.064036688,1.047783141,1.027076081,1.0002656,0.969247387,0.937157145,0.907579758,0.881363073,0.859924596,0.841711121,0.824579726
Population growth (annual %),China,0.959550406,0.865851393,0.787956593,0.726380638,0.669999568,0.622860936,0.593932815,0.58812499,0.558374367,0.522271866,0.512386932,0.497381401,0.482959689,0.479150454,0.487231118,0.493709634,0.506311592,0.508136747,0.541478512
Population growth (annual %),Colombia,1.51172623,1.480589393,1.457655847,1.437376745,1.413715658,1.384704068,1.347892323,1.305616326,1.262825409,1.221754692,1.180557901,1.139626956,1.099085827,1.058337222,1.017992635,0.979596402,0.943782713,0.90978181,0.876786632
Population growth (annual %),Comoros,2.640770438,2.578686179,2.522340022,2.464237891,2.415507265,2.382713421,2.374990806,2.382366955,2.39064349,2.396717366,2.403628365,2.408719056,2.412541877,2.417574078,2.418819342,2.406610626,2.383373359,2.347699491,2.311191381
Population growth (annual %),"Congo, Dem. Rep.",2.279055016,2.332367961,2.533546248,2.761128568,2.934989496,3.071152479,3.149306586,3.186701822,3.219727794,3.261495862,3.2935492,3.316441006,3.330935958,3.338295978,3.338871512,3.332366856,3.319175859,3.300416414,3.278533569
Population growth (annual %),"Congo, Rep.",2.8610869,2.842354152,2.810056085,2.754238014,2.718423835,2.759745422,2.896111472,3.080770625,3.283681755,3.425009567,3.440638125,3.304747414,3.078362675,2.832665164,2.638066244,2.515488389,2.488215136,2.524714384,2.57235739
Population growth (annual %),Costa Rica,2.272497431,2.136346337,1.973780614,1.801432944,1.64782844,1.532956108,1.469217668,1.441729115,1.424719671,1.398344085,1.364702551,1.317725028,1.262356468,1.207000977,1.159393688,1.11702185,1.08145876,1.051233008,1.022696047
Population growth (annual %),Cote d'Ivoire,2.799790085,2.583233757,2.342426273,2.096877663,1.897160046,1.785353263,1.784850869,1.863678193,1.961044424,2.045868122,2.135918747,2.2234323,2.305464264,2.392463591,2.473506374,2.525016356,2.539766572,2.529163078,2.510353568
Population growth (annual %),Croatia,-1.565115162,1.170637333,-2.850972601,0.315813482,0,0,-0.022525059,0.067559962,-0.045034903,-0.090130696,-0.033639562,-0.122523788,-0.255390216,..,-0.305655945,-0.278509063,-0.407343185,-0.824099164,-0.788234222
Population growth (annual %),Cuba,0.453971415,0.414060219,0.365954101,0.320594395,0.280800415,0.239390579,0.195950405,0.153535138,0.106109329,0.065964838,0.053658354,0.078202769,0.127575696,0.190411585,0.241854764,0.263407959,0.241555165,0.189204124,0.126866978
Population growth (annual %),Curacao,-1.70475051,-3.553737816,-4.075386132,-3.661779858,0.12236112,2.062102467,1.725029528,2.550073807,2.568114257,1.974862198,1.258225307,0.651152062,1.265514155,1.420897663,0.829929595,1.133678907,1.347641396,1.318960909,..
Population growth (annual %),Cyprus,1.945951611,1.890882028,1.844129516,1.785746729,1.72248597,1.684562113,1.68139959,1.692623778,1.722142131,1.726082942,1.664253955,1.515234031,1.314635276,1.093044802,0.905091676,0.775270474,0.732777574,0.750102726,0.784179797
Population growth (annual %),Czech Republic,-0.094744752,-0.102175934,-0.280414108,-0.375719704,-0.192901618,-0.028620591,0.030434848,0.13832598,0.270795629,0.583542205,0.829412603,0.569729451,0.291361674,0.206747667,0.139925656,0.033169946,0.105277582,0.196588748,0.147567084
Population growth (annual %),Denmark,0.363162524,0.330886246,0.334233619,0.358315679,0.319487125,0.272010444,0.258432282,0.275481733,0.328645159,0.443466054,0.58754759,0.535079062,0.444197155,0.411737855,0.376272243,0.416901361,0.507053283,0.70642385,0.834637611
Population growth (annual %),Djibouti,2.930966048,2.82293602,2.466826034,2.086134007,1.827044896,1.647259935,1.587225931,1.609037511,1.64034215,1.643524516,1.658029965,1.675689026,1.695078341,1.722848092,1.745543489,1.744038293,1.7111823,1.658026934,1.595864748
Population growth (annual %),Dominica,-0.656539726,-0.552097441,-0.325264116,-0.008611657,0.220798117,0.38451415,0.40719915,0.351758444,0.254535822,0.201753774,0.174618419,0.217845107,0.295789771,0.388382556,0.453528135,0.492925592,0.520741234,0.526244876,0.519410867
Population growth (annual %),Dominican Republic,1.614910374,1.587275597,1.571502327,1.55861746,1.542113178,1.522216556,1.496788622,1.467462122,1.437745117,1.409402197,1.381014341,1.352691413,1.324423934,1.295972785,1.267034242,1.236505078,1.204124928,1.170822649,1.137056669
Population growth (annual %),Early-demographic dividend,1.900964216,1.855847627,1.815356499,1.758906346,1.722424138,1.686846984,1.658658132,1.63538984,1.613857896,1.593104902,1.572546757,1.551608693,1.538647517,1.5148979,1.479904286,1.457247908,1.433946624,1.409086082,1.383047802
Population growth (annual %),East Asia & Pacific,1.083360971,1.005269273,0.947782447,0.905178059,0.849844181,0.804133851,0.77244964,0.756092935,0.7419965,0.707903037,0.71283233,0.68842801,0.675723908,0.668430882,0.67883061,0.676462138,0.681870787,0.675463,0.68309767
Population growth (annual %),East Asia & Pacific (excluding high income),1.148576738,1.073278972,1.003323477,0.949250827,0.89809518,0.857510376,0.83013405,0.81559012,0.782518847,0.747518003,0.73426121,0.722499489,0.713743055,0.714411668,0.721731588,0.723834829,0.726614243,0.718662932,0.730575582
Population growth (annual %),East Asia & Pacific (IDA & IBRD countries),1.151732322,1.075966318,1.005067352,0.950080752,0.898252143,0.857418865,0.830391098,0.816638187,0.78417722,0.749577601,0.736743322,0.725068466,0.716182965,0.716766408,0.724146784,0.726288677,0.729209993,0.721331548,0.733565035
Population growth (annual %),Ecuador,1.983486587,1.911958688,1.837286377,1.759441896,1.691894282,1.650472163,1.642217314,1.656026053,1.676748709,1.689413452,1.689977562,1.672809956,1.643291468,1.611781952,1.583919336,1.556476468,1.530634094,1.505644485,1.479917408
Population growth (annual %),"Egypt, Arab Rep.",1.837760999,1.836176099,1.847016355,1.871980683,1.895767922,1.899223953,1.874614348,1.835290156,1.782574608,1.747967558,1.765411905,1.849460553,1.972277516,2.105843226,2.205704503,2.245526458,2.208142808,2.118294825,2.016789456
Population growth (annual %),El Salvador,0.885612579,0.801131975,0.725902079,0.651222643,0.579779301,0.524387111,0.488461427,0.46860632,0.455375226,0.444763575,0.439995671,0.440496004,0.444647422,0.452110174,0.462163676,0.473556779,0.485351775,0.496901568,0.509497673
Population growth (annual %),Equatorial Guinea,3.966473617,4.023502885,4.050340183,4.057538373,4.080436281,4.145138164,4.256723256,4.386271484,4.505342015,4.577918432,4.605863706,4.579403337,4.51562162,4.440549947,4.359327694,4.255664565,4.128421003,3.989138838,3.847226839
Population growth (annual %),Eritrea,1.969283943,2.391600004,2.70478429,3.02850825,3.305107252,3.362961111,3.168878403,2.820555339,2.430313543,2.109183077,1.891406315,1.819042849,1.850515743,1.891652284,..,..,..,..,..
Population growth (annual %),Estonia,-0.960559005,0.294482276,0.483707162,-0.636963124,-0.633433796,-0.627622448,-0.59782051,-0.572255525,-0.58965556,-0.456188535,-0.26813372,-0.192768077,-0.228057969,-0.303582824,-0.357944411,-0.355891803,-0.262256175,0.06555253,0.08161442
Population growth (annual %),Ethiopia,2.937420814,2.897231741,2.892890897,2.895754381,2.885217686,2.86361647,2.825855454,2.778715056,2.730130244,2.689815256,2.661154076,2.647065405,2.641594477,2.637670293,2.627598881,2.608930467,2.579068306,2.541468619,2.501821378
Population growth (annual %),Euro area,0.21088728,0.258242089,0.328448641,0.385015399,0.489061343,0.543192338,0.55128088,0.518156738,0.468263417,0.520478514,0.489880256,0.324929137,0.235743651,-0.215869346,0.221051849,0.336016327,0.335838572,0.321946973,0.405101084
Population growth (annual %),Europe & Central Asia,0.130788075,0.132958926,0.107267279,0.152098201,0.183095806,0.261302954,0.296624967,0.302387355,0.307290814,0.356747147,0.398401763,0.411113099,0.386693781,0.233825092,0.400822039,0.468156929,0.471661666,0.479481073,0.503674665
Population growth (annual %),Europe & Central Asia (excluding high income),0.056980197,0.018365285,0.003033455,-0.049814149,-0.078576183,0.036836476,0.086864202,0.101870727,0.136322916,0.171445118,0.262203538,0.433746668,0.497603887,0.508403468,0.53872102,0.59357859,0.581358718,0.597508016,0.590132333
Population growth (annual %),Europe & Central Asia (IDA & IBRD countries),0.05509659,0.015998623,-0.08941203,-0.047860467,-0.075739845,0.027665296,0.07409554,0.089079489,0.118829771,0.151704701,0.240511376,0.401881765,0.42967027,0.469231418,0.492473816,0.537741963,0.52566272,0.541473954,0.532165879
Population growth (annual %),European Union,0.138669885,0.200073423,0.131162127,0.200097985,0.252391025,0.369066064,0.398705717,0.395106027,0.374650224,0.390169596,0.378428885,0.300809186,0.219178944,-0.081092757,0.216711472,0.294616953,0.308885373,0.304249917,0.351989078
Population growth (annual %),Faroe Islands,0.708817911,0.763501255,0.681567477,0.565497793,0.509996383,0.428230394,0.351655116,0.294520477,0.202755894,0.134254546,0.076341394,0.065978023,0.067994275,0.119393168,0.11925079,0.166302277,0.194694136,0.251515873,0.309944988
Population growth (annual %),Fiji,0.935873889,0.769105782,0.584652751,0.368515792,0.180746336,0.114806003,0.211133901,0.422273671,0.678380606,0.89050012,1.016364836,1.017759552,0.932645434,0.826391646,0.747986175,0.697996516,0.689997362,0.713519398,0.738287655
Population growth (annual %),Finland,0.265472962,0.232116249,0.207606515,0.227687342,0.24238105,0.23845724,0.290350362,0.342248594,0.383777136,0.425429832,0.465549285,0.478246393,0.457494535,0.463558707,0.475809487,0.460723773,0.413560208,0.329383886,0.283654477
Population growth (annual %),Fragile and conflict affected situations,2.37456218,2.365142802,2.469626984,2.555036623,2.598408516,2.61874578,2.60763342,2.575460726,2.544749701,2.51798674,2.494774913,2.471098614,2.449772254,2.429813097,2.409839393,2.39552425,2.381169194,2.372177848,2.372124122
Population growth (annual %),France,0.368612829,0.514446391,0.684930929,0.727791318,0.727229885,0.708775986,0.736319943,0.753805556,0.697191228,0.618711483,0.55885743,0.514486365,0.494037459,0.483644885,0.483982304,0.514636135,0.503871197,0.439410655,0.407491036
Population growth (annual %),French Polynesia,2.05489561,1.983903031,1.831573287,1.678091584,1.535362758,1.415612134,1.309701015,1.228055484,1.149182366,1.06554306,0.98707684,0.908546986,0.839523417,0.752519532,0.686924957,0.669443526,0.712555746,0.79758329,0.902680095
Population growth (annual %),Gabon,2.498457204,2.491616026,2.496043263,2.497702415,2.515124747,2.572976444,2.678785661,2.813076326,2.929875262,3.023300524,3.121481456,3.224124302,3.313386234,3.409721886,3.45821477,3.383227627,3.165292857,2.862181858,2.537808568
Population growth (annual %),"Gambia, The",2.863750272,2.92641208,3.001464565,3.089435459,3.164979004,3.215006504,3.224598768,3.210587365,3.190281546,3.174710545,3.162727384,3.159241368,3.157140562,3.153602082,3.143118456,3.124645665,3.099282897,3.067312186,3.03358022
Population growth (annual %),Georgia,-0.982389344,-0.778544839,-0.771072946,-0.724616161,-0.672509797,-1.301501055,-1.302691682,-1.304108583,-1.297159673,-1.314207282,-1.282068843,-1.298719553,-1.315808458,-1.307543305,-1.298719553,-1.2893219,-1.306162779,-0.265982613,0.059168417
Population growth (annual %),Germany,0.015143651,0.064634578,0.1354316,0.168225361,0.168128319,0.055363304,-0.021709728,-0.056778262,-0.112797498,-0.133718573,-0.190142845,-0.25338341,-0.153198447,-1.853714629,0.187727801,0.272900215,0.416877359,0.865702644,1.193866758
Population growth (annual %),Ghana,2.399769129,2.416268724,2.465088423,2.517538489,2.556512822,2.587427627,2.605557855,2.612384647,2.617995444,2.61893735,2.602072612,2.564374921,2.512829739,2.456879949,2.404028322,2.354986875,2.312336047,2.274380311,2.236737965
Population growth (annual %),Gibraltar,0.674324568,0.614968277,0.608002388,0.62026608,0.540387214,0.556400019,0.553321331,0.590802112,0.655475235,0.660435077,0.680545835,0.682014579,0.704515727,0.648709366,0.650476722,0.616718532,0.610000565,0.556647498,0.524507293
Population growth (annual %),Greece,0.554211903,0.383471312,0.409041838,0.519884464,0.366566462,0.238643175,0.247413543,0.293249074,0.300331801,0.254757582,0.265457837,0.263026401,0.128880433,-0.147951277,-0.540752951,-0.725120807,-0.66611329,-0.658861361,-0.687542545
Population growth (annual %),Greenland,0.178412179,0,0.178094437,0.266548359,0.458574268,0.275195545,0.256870545,0.04216222,-0.283179181,-0.386485847,-0.402186877,-0.008876974,1.028023326,-0.026363197,-0.140721219,-0.577265865,-0.333398667,-0.322038549,0.128227978
Population growth (annual %),Grenada,0.184754364,0.131195426,0.174331895,0.226079873,0.246140091,0.2689817,0.274105063,0.285012717,0.300667514,0.316179045,0.331541004,0.351541476,0.364640812,0.379496241,0.385646102,0.404939292,0.424933154,0.434369277,0.461381224
Population growth (annual %),Guam,1.304797413,1.094613026,0.889808705,0.687777388,0.493661232,0.342343192,0.24381529,0.191468648,0.155180602,0.130392487,0.113246733,0.123167429,0.133678532,0.146652404,0.184576356,0.250977194,0.36845521,0.514308801,0.676949732
Population growth (annual %),Guatemala,2.233102129,2.253150994,2.287977379,2.326255366,2.352842631,2.36059488,2.343802411,2.310407043,2.272242032,2.238531009,2.209523202,2.188038145,2.171039571,2.153627183,2.132028252,2.106892045,2.077151821,2.044266382,2.010367845
Population growth (annual %),Guinea,1.963203038,1.754097795,1.772743801,1.829026023,1.835721504,1.870290276,1.918997837,1.977281497,2.062147776,2.155427619,2.217685916,2.235588634,2.226211614,2.208127156,2.207402297,2.236442241,2.304039644,2.393916866,2.48622533
Population growth (annual %),Guinea-Bissau,1.696766517,1.725074577,1.821056053,1.934389664,2.031357981,2.117242461,2.181818705,2.233044589,2.279026165,2.329125477,2.383809196,2.441980685,2.501132548,2.555568364,2.596385581,2.612243724,2.597498319,2.561841573,2.519328921
Population growth (annual %),Guyana,-0.336920176,-0.35341657,-0.262101107,-0.137888547,-0.050394012,-0.003591044,-0.027269541,-0.093970583,-0.179268008,-0.231323602,-0.208140577,-0.083243582,0.115664356,0.340185504,0.531358448,0.660416966,0.698273067,0.668580935,0.621217097
Population growth (annual %),Haiti,1.79025081,1.751422577,1.708257106,1.663058134,1.622259194,1.592495961,1.576382423,1.569191526,1.564366366,1.554700833,1.538194907,1.511857854,1.478400896,1.443950382,1.410947725,1.376075923,1.339654191,1.302387138,1.264238966
Population growth (annual %),Heavily indebted poor countries (HIPC),2.77265848,2.782839968,2.822234793,2.867227738,2.897870823,2.912586444,2.905685444,2.884985549,2.860946284,2.843187874,2.833066127,2.833216828,2.839075732,2.844792335,2.844730725,2.837758417,2.822206695,2.800618697,2.777198867
Population growth (annual %),High income,0.644093769,0.635748061,0.626698888,0.666785892,0.667021813,0.661292497,0.69047592,0.700656241,0.747870448,0.786986607,0.830237918,0.736660168,0.659063483,0.477358954,0.597501474,0.597611089,0.609384263,0.592134119,0.600170938
Population growth (annual %),Honduras,2.6700748,2.632899693,2.593972994,2.554025596,2.509622188,2.456254595,2.392757939,2.322533292,2.252563858,2.184648117,2.11406257,2.04138691,1.968750939,1.895601513,1.827704101,1.77287379,1.733953002,1.706429882,1.682462584
Population growth (annual %),"Hong Kong SAR, China",0.834808807,0.955125814,0.881594076,0.736962668,0.442846827,-0.197404126,0.779918562,0.436871406,0.642270483,0.859633272,0.598238787,0.215353334,0.734446396,0.672543292,1.166874383,0.458789964,0.751257934,0.879887992,0.559636742
Population growth (annual %),Hungary,-0.232679337,-0.28326061,-0.259764908,-0.229379183,-0.284751377,-0.286433268,-0.221439379,-0.198878843,-0.155716485,-0.154915158,-0.175097367,-0.154908814,-0.226013876,-0.283360436,-0.516437607,-0.275368757,-0.269378767,-0.237855002,-0.255022953
Population growth (annual %),IBRD only,1.305550076,1.258405667,1.195070753,1.153416342,1.116704932,1.098191785,1.081654755,1.069602893,1.050339962,1.029252699,1.023587304,1.025727359,1.008698296,1.004964918,1.00890033,1.002215554,0.988815699,0.971623786,0.960087667
Population growth (annual %),Iceland,1.070859043,1.209238786,1.369192833,1.329295255,0.892596377,0.69249762,0.877936158,1.582891978,2.34742243,2.530085489,1.859572171,0.341241979,-0.143903,0.305468368,0.532100735,0.9458859,1.112504755,1.041940387,1.033589277
Population growth (annual %),IDA & IBRD total,1.547038585,1.503564663,1.457784658,1.426245631,1.397651375,1.383225045,1.37009069,1.359970057,1.344821735,1.329245356,1.326000238,1.328905513,1.322862518,1.320890933,1.319396164,1.316133478,1.307001645,1.294651505,1.286772279
